area;ciudad;conglomerado;vivienda;hogar;persona;s1p3;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;10150; 10150001306;1;1;1;28;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;1;0;0;7;0;1;1;1;1;1;1;1;1;1;1;2;4;8;11;1;1;6;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1735,66945024219;010150001306011;01015000130601101
1;10150; 10150001306;1;1;2;26;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2;1;1;6;0;1;0;1;1;1;1;1;1;1;1;1;1;2;4;8;9;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1695,76028938393;010150001306011;01015000130601102
1;10150; 10150001306;1;1;3;9;1;4;4;1;1;2;1;2;1;1;1;2; ;1;2;1;3; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;2;13;13;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001306;2713;2192,56954328299;010150001306011;01015000130601103
1;10150; 10150001306;3;1;1;20;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;6;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;4;5;10;1;1;4;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1735,66945024219;010150001306031;01015000130603101
1;10150; 10150001306;3;1;2;26;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;2;10;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1735,66945024219;010150001306031;01015000130603102
1;10150; 10150001306;5;1;1;53;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;6;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;8;10;13;1;1;4;1;1;1;1;2;2;2;2;1;2;010150001306;2713;1735,66945024219;010150001306051;01015000130605101
1;10150; 10150001306;5;1;2;76;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1695,76028938393;010150001306051;01015000130605102
1;10150; 10150001306;5;1;3;90;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1695,76028938393;010150001306051;01015000130605103
1;10150; 10150001306;7;1;1;80;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1735,66945024219;010150001306071;01015000130607101
1;10150; 10150001306;7;1;2;78;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001306;2713;1695,76028938393;010150001306071;01015000130607102
